epoch,step,test/acc,test/f1,test/loss,train/acc,train/f1,train/loss,val/acc,val/f1,val/loss
0,24,,,,,,,0.1666666716337204,0.1705026626586914,2.2628211975097656
0,24,,,,0.16300129890441895,0.1466040313243866,2.2808597087860107,,,
1,49,,,,,,,0.3125,0.2830357253551483,2.1674561500549316
1,49,,,,0.2755497992038727,0.25122228264808655,2.2150075435638428,,,
2,74,,,,,,,0.4375,0.44227322936058044,2.1117093563079834
2,74,,,,0.37386804819107056,0.35685276985168457,2.148573398590088,,,
3,99,,,,,,,0.5625,0.5582551956176758,2.017791509628296
3,99,,,,0.5045278072357178,0.49654826521873474,2.060427665710449,,,
4,124,,,,,,,0.5833333134651184,0.5884523987770081,1.838120460510254
4,124,,,,0.6144890189170837,0.6143217086791992,1.9281005859375,,,
5,149,,,,,,,0.65625,0.7015640139579773,1.6714030504226685
5,149,,,,0.671410083770752,0.6723363399505615,1.776210904121399,,,
6,174,,,,,,,0.6875,0.6905941963195801,1.4588427543640137
6,174,,,,0.7115135788917542,0.7174218893051147,1.5962321758270264,,,
7,199,,,,,,,0.78125,0.7981036305427551,1.252581000328064
7,199,,,,0.7412678003311157,0.7501782774925232,1.4588972330093384,,,
8,224,,,,,,,0.6875,0.6982774138450623,1.2241677045822144
8,224,,,,0.7360931634902954,0.7407748699188232,1.3348121643066406,,,
9,249,,,,,,,0.65625,0.6760680079460144,1.17326819896698
9,249,,,,0.7787839770317078,0.7895565629005432,1.179497480392456,,,
10,250,0.7448979616165161,0.7496897578239441,1.3432203531265259,,,,,,
